real, coming, real and coming in
348.7/393.7 : 385.237241249: 348.7 * 1.10478130556
364.6/370.1 : 378.13132956: 364.6 * 1.03711280735



378.13132956/385.237241249: 393.087253574: 378.13132956 * 1.03955219482
38435.95,-1,39324.69
39882.38,1,38915.08
38881.43,-1,40153.24
40300.0,1,39249.6
39088.84,-1,40104.11
40372.63,1,39522.12
37386.38,-1,38206.92
38675.0,1,37849.99
37686.26,-1,38552.95
39167.34,1,38664.39
37517.8,-1,38397.5
39475.0,1,38788.57
38590.97,-1,39626.73
